date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,water_balance,cumulative_water_balance,aridity_index,temp_rolling_12m,precip_rolling_12m,SPI_12_z,SPEI_12_z
2002-01-01,9.935483870967742,15.038709677419355,6.025806451612904,46.0,49.58,321.59,14.564516129032258,-7.5422530655755065,-3.5799999999999983,-3.5799999999999983,1.0754880694143167,,,,
2002-02-01,11.146428571428572,16.353571428571428,6.753571428571428,12.3,64.85,395.78000000000003,16.396428571428572,-6.331308365114676,-52.55,-56.129999999999995,5.229838709677419,,,,
2002-03-01,13.435483870967742,18.4,9.148387096774194,39.300000000000004,98.36,570.91,21.129032258064516,-4.0422530655755065,-59.059999999999995,-115.19,2.496446700507614,,,,
2002-04-01,14.866666666666667,19.743333333333332,10.046666666666665,28.2,118.59,689.53,19.91,-2.6110702698765813,-90.39,-205.57999999999998,4.190459363957597,,,,
2002-05-01,18.858064516129033,24.351612903225806,13.329032258064515,23.4,162.17,811.72,22.148387096774194,1.380327579585785,-138.76999999999998,-344.34999999999997,6.900851063829787,,,,
2002-06-01,23.576666666666664,29.233333333333334,17.923333333333336,1.2999999999999998,184.89000000000001,806.47,19.436666666666667,6.098929730123416,-183.59,-527.9399999999999,132.06428571428575,,,,
2002-07-01,24.39032258064516,29.69677419354839,19.22258064516129,1.9000000000000001,183.77,828.58,18.05806451612903,6.912585644101913,-181.87,-709.81,91.885,,,,
2002-08-01,24.451612903225808,29.51290322580645,19.816129032258065,35.1,156.57,717.84,16.980645161290322,6.973875966682559,-121.47,-831.28,4.448011363636363,,,,
2002-09-01,22.716666666666665,27.743333333333332,18.15,21.299999999999997,133.24,602.71,17.956666666666667,5.238929730123417,-111.94000000000001,-943.22,6.226168224299066,,,,
2002-10-01,19.703225806451613,25.370967741935484,15.183870967741935,21.8,108.63,486.27,19.17096774193548,2.2254888699083644,-86.83,-1030.05,4.960273972602739,,,,
2002-11-01,15.2,19.2,11.946666666666665,127.5,62.57,279.24,22.216666666666665,-2.277736936543249,64.93,-965.1199999999999,0.49036050156739813,,,,
