Date,SARIMA,LSTM,RL_Best_Forecast,Model_Used
2024-01-01,10.784634911562115,16.061913,10.784634911562115,SARIMA
2024-02-01,10.907886219998344,13.934719,10.907886219998344,SARIMA
2024-03-01,12.948559891001077,12.110982,12.948559891001077,SARIMA
2024-04-01,15.573173897530634,11.219506,15.573173897530634,SARIMA
2024-05-01,18.609153770304072,11.835337,18.609153770304072,SARIMA
2024-06-01,22.956884132380768,13.221865,22.956884132380768,SARIMA
2024-07-01,26.43163064327811,14.906042,26.43163064327811,SARIMA
2024-08-01,26.762433904335232,16.734983,26.762433904335232,SARIMA
2024-09-01,23.72198388700908,18.360323,23.72198388700908,SARIMA
2024-10-01,20.31648310100958,19.324196,20.31648310100958,SARIMA
2024-11-01,14.999049423879416,19.429134,14.999049423879416,SARIMA
2024-12-01,11.74562472088394,18.640675,11.74562472088394,SARIMA
2025-01-01,10.801546452777757,17.26002,10.801546452777757,SARIMA
2025-02-01,10.924991033364554,15.476892,10.924991033364554,SARIMA
2025-03-01,12.968864714119848,13.45738,12.968864714119848,SARIMA
2025-04-01,15.597594415646087,11.83299,15.597594415646087,SARIMA
2025-05-01,18.638335052151383,11.361198,18.638335052151383,SARIMA
2025-06-01,22.99288315278072,12.191597,22.99288315278072,SARIMA
2025-07-01,26.47307846368982,13.6434765,26.47307846368982,SARIMA
2025-08-01,26.804400462101476,15.346161,26.804400462101476,SARIMA
2025-09-01,23.75918267134547,17.068785,23.75918267134547,SARIMA
2025-10-01,20.348341670551996,18.518333,20.348341670551996,SARIMA
2025-11-01,15.02256964914503,19.242561,15.02256964914503,SARIMA
2025-12-01,11.764043204049994,19.127878,11.764043204049994,SARIMA
2026-01-01,10.81848451322456,18.178154,10.81848451322456,SARIMA
2026-02-01,10.942122669034774,16.798574,10.942122669034774,SARIMA
2026-03-01,12.989201377523978,14.985397,12.989201377523978,SARIMA
2026-04-01,15.62205322792746,13.064876,15.62205322792746,SARIMA
2026-05-01,18.66756209358673,11.637365,18.66756209358673,SARIMA
2026-06-01,23.028938623762656,11.529417,23.028938623762656,SARIMA
2026-07-01,26.51459127902523,12.537909,26.51459127902523,SARIMA
2026-08-01,26.84643282823093,14.032301,26.84643282823093,SARIMA
2026-09-01,23.79643978763093,15.7322035,23.79643978763093,SARIMA
2026-10-01,20.380250197975812,17.359024,20.380250197975812,SARIMA
2026-11-01,15.04612675681438,18.619602,15.04612675681438,SARIMA
2026-12-01,11.782490569504578,19.116404,11.782490569504578,SARIMA
2027-01-01,10.835449134487725,18.8543,10.835449134487725,SARIMA
2027-02-01,10.959281169069444,17.802076,10.959281169069444,SARIMA
2027-03-01,13.009569931142677,16.39902,13.009569931142677,SARIMA
