date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,aridity_index,water_balance,cumulative_water_balance,temp_rolling_12m,precip_rolling_12m
2002-01-01,9.935483870967742,15.038709677419355,6.025806451612904,46.0,1.5993548387096774,10.373870967741935,14.564516129032258,-7.890859741389496,0.03469316352949409,44.40064516129032,44.40064516129032,,
2002-02-01,11.146428571428572,16.353571428571428,6.753571428571428,12.3,2.3160714285714286,14.135000000000002,16.396428571428572,-6.679915040928666,0.18677995391705068,9.983928571428573,54.38457373271889,,
2002-03-01,13.435483870967742,18.4,9.148387096774194,39.300000000000004,3.1729032258064516,18.416451612903224,21.129032258064516,-4.390859741389496,0.08053053872605206,36.127096774193554,90.51167050691245,,
2002-04-01,14.866666666666667,19.743333333333332,10.046666666666665,28.2,3.9530000000000003,22.984333333333332,19.91,-2.959676945690571,0.13968197879858657,24.247,114.75867050691245,,
2002-05-01,18.858064516129033,24.351612903225806,13.329032258064515,23.4,5.231290322580644,26.184516129032257,22.148387096774194,1.0317209037717952,0.22260809883321891,18.168709677419354,132.9273801843318,,
2002-06-01,23.576666666666664,29.233333333333334,17.923333333333336,1.2999999999999998,6.163,26.882333333333335,19.436666666666667,5.750323054309426,4.402142857142858,-4.863,128.0643801843318,,
2002-07-01,24.39032258064516,29.69677419354839,19.22258064516129,1.9000000000000001,5.928064516129033,26.728387096774195,18.05806451612903,6.563978968287923,2.9640322580645164,-4.0280645161290325,124.03631566820277,,
2002-08-01,24.451612903225808,29.51290322580645,19.816129032258065,35.1,5.050645161290323,23.156129032258065,16.980645161290322,6.6252692908685695,0.14348423753665687,30.04935483870968,154.08567050691246,,
2002-09-01,22.716666666666665,27.743333333333332,18.15,21.299999999999997,4.441333333333334,20.090333333333334,17.956666666666667,4.890323054309427,0.20753894080996887,16.858666666666664,170.94433717357913,,
2002-10-01,19.703225806451613,25.370967741935484,15.183870967741935,21.8,3.5041935483870965,15.686129032258064,19.17096774193548,1.8768821940943745,0.1600088378258948,18.295806451612904,189.24014362519205,,
2002-11-01,15.2,19.2,11.946666666666665,127.5,2.0856666666666666,9.308,22.216666666666665,-2.626343612357239,0.016345350052246604,125.41433333333333,314.6544769585254,,
