Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,RL_Best_Forecast_Lower,RL_Best_Forecast_Upper,RL_Best_Forecast_Std,Model_Used
2024-01-01,57.4273351651299,56.907837,45.496387905316936,59.95617168010109,56.907837,45.97730806957045,67.83836593042955,5.576800474708955,LSTM
2024-02-01,64.85301239135522,62.13801,85.04718579226054,70.96968213391932,64.85301239135522,47.50400618707274,82.2020185956377,8.851533777695144,SARIMA
2024-03-01,94.15010869515986,79.86171,117.007962208693,94.17686509058188,94.15010869515986,68.07093303730025,120.22928435301947,13.305701866254898,SARIMA
2024-04-01,124.24583957907396,109.87052,141.3787171546142,118.32503175396629,124.24583957907396,101.62630727959558,146.86537187855234,11.540577703815497,SARIMA
2024-05-01,142.15488403847695,146.92209,158.15945063002414,146.50658109159437,146.92209,119.36390277666688,174.4802772233331,14.060299603741386,LSTM
2024-06-01,172.45900993702378,180.50008,167.35016263492292,182.1427914250561,180.50008,158.88925178650356,202.11090821349643,11.02593276198798,LSTM
2024-07-01,202.67915820846912,196.9914,168.95085316931045,197.7912284779013,196.9914,171.0051322348585,222.9776677651415,13.258299880174226,LSTM
2024-08-01,193.1666128345812,187.45361,162.96152223318674,185.4242652909873,187.45361,158.59673382620122,216.31048617379878,14.72289600704019,LSTM
2024-09-01,139.60781868732212,149.04863,149.3821698265518,139.74047930865677,149.04863,137.36438641398536,160.73287358601465,5.9613487683748225,LSTM
2024-10-01,114.14261305078983,109.06538,128.21279594940566,107.91210260895552,114.14261305078983,98.32054917485125,129.96467692672843,8.07248156935642,SARIMA
2024-11-01,73.65211553678154,73.14935,99.45340060174831,69.94566112769826,73.14935,49.893337364592675,96.40536263540733,11.865312569085368,LSTM
2024-12-01,64.64426595135232,58.378624,63.10398378357962,54.84325087409058,58.378624,49.76549342547003,66.99175457452998,4.3944543747601905,LSTM
2025-01-01,58.16814465425581,56.74725,46.8560959175002,60.37754310922386,56.74725,46.60169000115488,66.89280999884512,5.1763061218597555,LSTM
2025-02-01,64.94789747143061,63.46109,86.47148178571149,73.78487806607899,64.94789747143061,47.007096675118525,82.88869826774268,9.153469794036777,SARIMA
2025-03-01,99.37070411765995,85.91568,118.49684618341158,86.30663060844299,99.37070411765995,73.37107965692151,125.3703285783984,13.265114520784923,SARIMA
2025-04-01,136.0484365289147,116.05906,142.93218911060043,112.404296961747,136.0484365289147,110.71263543999734,161.38423761783204,12.926429126998647,SARIMA
2025-05-01,135.54667608866984,139.33727,159.77751056727806,138.6851354858,139.33727,111.77908277666687,166.8954572233331,14.060299603741386,LSTM
2025-06-01,164.11549401901948,172.5525,169.03281055344448,173.97068209248144,172.5525,150.94167178650358,194.16332821349644,11.02593276198798,LSTM
2025-07-01,202.95213026746163,194.34329,170.69808906909964,192.36102248950988,194.34329,171.05455102877946,217.63202897122054,11.882009679194148,LSTM
2025-08-01,186.94709412877256,181.90477,164.77334611424362,179.03249936383952,181.90477,153.04789382620123,210.7616461737988,14.72289600704019,LSTM
