Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,RL_Best_Forecast_Lower,RL_Best_Forecast_Upper,RL_Best_Forecast_Std,Model_Used
2024-01-01,11.29752416736825,11.124804,8.536257252422931,12.025969048021016,11.124804,8.537723704737495,13.711884295262504,1.3199389261543393,LSTM
2024-02-01,11.740434391408634,10.980992,12.997311555990958,12.020335816779031,11.740434391408634,9.219945115387784,14.260923667429484,1.2859639163371683,SARIMA
2024-03-01,13.657577680381204,11.676199,16.700771970837454,14.252970467997326,13.657577680381204,10.143925661004054,17.171229699758353,1.7926796017230355,SARIMA
2024-04-01,16.07234619839084,14.048773,19.646638496962414,16.414010967307984,16.07234619839084,12.14110828552867,20.00358411125301,2.0057336290113112,SARIMA
2024-05-01,19.18649656837265,18.949125,21.834911134365843,19.852369416935268,18.949125,16.725803502344462,21.172446497655535,1.1343477028854778,LSTM
2024-06-01,23.470062088207143,23.743504,23.265589883047745,24.350974587598618,23.743504,22.452416924025194,25.03459107597481,0.658717895905515,LSTM
2024-07-01,26.90196641791643,26.662956,23.938674743008107,27.06110193618937,26.662956,24.155164541654806,29.170747458345197,1.2794854379312222,LSTM
2024-08-01,27.088075569734404,27.328646,23.85416571424694,27.709782576398727,27.328646,24.308654459661664,30.348637540338334,1.540812010376701,LSTM
2024-09-01,24.17780173844184,25.297926,23.01206279676424,24.766736698506183,25.297926,23.63288587031864,26.962966129681362,0.8495102702455928,LSTM
2024-10-01,20.68341114931748,21.586466,21.41236599056,21.506460645849103,20.68341114931748,18.58510849485251,22.78171380378245,1.0705625788086581,SARIMA
2024-11-01,15.653525332393867,16.926386,19.055075295634232,16.07084562339147,16.926386,14.355227230118693,19.49754476988131,1.3118156989190344,LSTM
2024-12-01,12.669222608588155,13.6470175,15.940190711986933,13.078196727117264,13.6470175,11.134546338846175,16.159488661153826,1.2818730414050132,LSTM
2025-01-01,11.360535040304187,11.393247,8.697634378907772,11.653478545729715,11.393247,9.03060395901701,13.75589004098299,1.205430122950505,LSTM
2025-02-01,11.80294223883628,10.936347,13.167346555258003,12.378197772905454,11.80294223883628,9.28245296281543,14.32343151485713,1.2859639163371683,SARIMA
2025-03-01,13.71996662592321,11.999902,16.879464842886698,13.909655252767772,13.71996662592321,10.28108486674646,17.158848385099958,1.7545315097840561,SARIMA
2025-04-01,16.134743291779266,14.399503,19.83398924179386,16.476609271583612,16.134743291779266,12.278584527148764,19.990902056409766,1.967427941138011,SARIMA
