Date,SARIMA,LSTM,Linear,RL_Best_Forecast,Model_Used
2024-01-01,10.784634911562115,16.061913,11.301714645108364,10.784634911562115,SARIMA
2024-02-01,10.907886219998344,13.934719,11.743717844911911,10.907886219998344,SARIMA
2024-03-01,12.948559891001077,12.110982,13.660072416369369,12.948559891001077,SARIMA
2024-04-01,15.573173897530634,11.219506,16.07402647306536,15.573173897530634,SARIMA
2024-05-01,18.609153770304072,11.835337,19.187198516076116,18.609153770304072,SARIMA
2024-06-01,22.956884132380768,13.221865,23.469481018519907,22.956884132380768,SARIMA
2024-07-01,26.43163064327811,14.906042,26.900248369448548,26.43163064327811,SARIMA
2024-08-01,26.762433904335232,16.734983,27.086318750680228,26.762433904335232,SARIMA
2024-09-01,23.72198388700908,18.360323,24.179972288099822,23.72198388700908,SARIMA
2024-10-01,20.31648310100958,19.324196,20.68468810991242,20.31648310100958,SARIMA
2024-11-01,14.999049423879416,19.429134,15.655686573814108,14.999049423879416,SARIMA
2024-12-01,11.74562472088394,18.640675,12.672092103768026,11.74562472088394,SARIMA
2025-01-01,10.801546452777757,17.26002,11.364212335783352,10.801546452777757,SARIMA
2025-02-01,10.924991033364554,15.476892,11.806215535586896,10.924991033364554,SARIMA
2025-03-01,12.968864714119848,13.45738,13.722570107044351,12.968864714119848,SARIMA
2025-04-01,15.597594415646087,11.83299,16.136524163740347,15.597594415646087,SARIMA
2025-05-01,18.638335052151383,11.361198,19.249696206751103,18.638335052151383,SARIMA
2025-06-01,22.99288315278072,12.191597,23.53197870919489,22.99288315278072,SARIMA
2025-07-01,26.47307846368982,13.6434765,26.962746060123536,26.47307846368982,SARIMA
2025-08-01,26.804400462101476,15.346161,27.14881644135521,26.804400462101476,SARIMA
2025-09-01,23.75918267134547,17.068785,24.242469978774807,23.75918267134547,SARIMA
2025-10-01,20.348341670551996,18.518333,20.74718580058741,20.348341670551996,SARIMA
2025-11-01,15.02256964914503,19.242561,15.718184264489096,15.02256964914503,SARIMA
2025-12-01,11.764043204049994,19.127878,12.734589794443012,11.764043204049994,SARIMA
2026-01-01,10.81848451322456,18.178154,11.426710026458336,10.81848451322456,SARIMA
2026-02-01,10.942122669034774,16.798574,11.868713226261884,10.942122669034774,SARIMA
2026-03-01,12.989201377523978,14.985397,13.78506779771934,12.989201377523978,SARIMA
2026-04-01,15.62205322792746,13.064876,16.19902185441533,15.62205322792746,SARIMA
2026-05-01,18.66756209358673,11.637365,19.312193897426088,18.66756209358673,SARIMA
2026-06-01,23.028938623762656,11.529417,23.594476399869876,23.028938623762656,SARIMA
2026-07-01,26.51459127902523,12.537909,27.02524375079852,26.51459127902523,SARIMA
2026-08-01,26.84643282823093,14.032301,27.211314132030196,26.84643282823093,SARIMA
2026-09-01,23.79643978763093,15.7322035,24.304967669449795,23.79643978763093,SARIMA
2026-10-01,20.380250197975812,17.359024,20.80968349126239,20.380250197975812,SARIMA
2026-11-01,15.04612675681438,18.619602,15.78068195516408,15.04612675681438,SARIMA
2026-12-01,11.782490569504578,19.116404,12.797087485118,11.782490569504578,SARIMA
2027-01-01,10.835449134487725,18.8543,11.489207717133322,10.835449134487725,SARIMA
2027-02-01,10.959281169069444,17.802076,11.931210916936868,10.959281169069444,SARIMA
2027-03-01,13.009569931142677,16.39902,13.847565488394324,13.009569931142677,SARIMA
2027-04-01,15.646550394424374,14.545876,16.261519545090316,15.646550394424374,SARIMA
2027-05-01,18.696834966366385,12.738004,19.374691588101072,18.696834966366385,SARIMA
2027-06-01,23.06505063384754,11.501062,23.656974090544864,23.06505063384754,SARIMA
2027-07-01,26.556169191203814,11.726553,27.087741441473504,26.556169191203814,SARIMA
2027-08-01,26.88853110591864,12.877585,27.273811822705184,26.88853110591864,SARIMA
2027-09-01,23.83375532733664,14.376085,24.36746536012478,23.83375532733664,SARIMA
2027-10-01,20.412208761620704,16.049225,20.872181181937375,20.412208761620704,SARIMA
2027-11-01,15.0697208047233,17.59955,15.843179645839063,15.0697208047233,SARIMA
2027-12-01,11.800966862538422,18.683512,12.859585175792985,11.800966862538422,SARIMA
2028-01-01,10.852440358217642,19.014313,11.551705407808306,10.852440358217642,SARIMA
2028-02-01,10.97646657559496,18.6117,11.993708607611854,10.97646657559496,SARIMA
2028-03-01,13.029970424983444,17.511786,13.91006317906931,13.029970424983444,SARIMA
2028-04-01,15.671085975280633,16.023989,16.324017235765304,15.671085975280633,SARIMA
2028-05-01,18.726153742359138,14.148449,19.43718927877606,18.726153742359138,SARIMA
2028-06-01,23.101219271695165,12.449834,23.71947178121985,23.101219271695165,SARIMA
2028-07-01,26.59781230230487,11.474021,27.150239132148492,26.59781230230487,SARIMA
2028-08-01,26.93069539852146,11.933702,27.336309513380165,26.93069539852146,SARIMA
2028-09-01,23.8711293820772,13.170122,24.429963050799763,23.8711293820772,SARIMA
2028-10-01,20.44421743994919,14.702559,20.93467887261236,20.44421743994919,SARIMA
2028-11-01,15.093351850798305,16.33101,15.905677336514051,15.093351850798305,SARIMA
2028-12-01,11.81947212851328,17.792679,12.922082866467967,11.81947212851328,SARIMA
2029-01-01,10.869458226130025,18.732866,11.614203098483292,10.869458226130025,SARIMA
2029-02-01,10.99367893080378,18.9363,12.056206298286838,10.99367893080378,SARIMA
2029-03-01,13.0504029091322,18.387087,13.972560869744296,13.0504029091322,SARIMA
2029-04-01,15.695660030734343,17.226858,16.386514926440288,15.695660030734343,SARIMA
2029-05-01,18.755518493546468,15.662444,19.499686969451044,18.755518493546468,SARIMA
2029-06-01,23.13744462610433,13.797956,23.781969471894833,23.13744462610433,SARIMA
2029-07-01,26.63952071456776,12.214178,27.212736822823477,26.63952071456776,SARIMA
2029-08-01,26.972925809558333,11.515298,27.398807204055153,26.972925809558333,SARIMA
2029-09-01,23.90856204361088,12.136466,24.49246074147475,23.90856204361088,SARIMA
2029-10-01,20.476276311546822,13.450509,20.997176563287347,20.476276311546822,SARIMA
2029-11-01,15.117019953056756,15.00349,15.968175027189035,15.117019953056756,SARIMA
2029-12-01,11.838006412862036,16.585648,12.984580557142952,11.838006412862036,SARIMA
2030-01-01,10.886502780006,17.97441,11.67670078915828,10.886502780006,SARIMA
2030-02-01,11.01091827695452,18.785759,12.118703988961824,11.01091827695452,SARIMA
2030-03-01,13.070867433753415,18.843983,14.03505856041928,13.070867433753415,SARIMA
2030-04-01,15.72027262111808,18.139858,16.449012617115272,15.72027262111808,SARIMA
2030-05-01,18.784929292022753,16.940468,19.56218466012603,18.784929292022753,SARIMA
2030-06-01,23.173726786013088,15.320067,23.84446716256982,23.173726786013088,SARIMA
2030-07-01,26.681294530392183,13.486197,27.27523451349846,26.681294530392183,SARIMA
2030-08-01,27.015222442710527,12.026024,27.461304894730137,27.015222442710527,SARIMA
2030-09-01,23.946053403839834,11.58048,24.554958432149736,23.946053403839834,SARIMA
2030-10-01,20.5083854551224,12.3695965,21.05967425396233,20.5083854551224,SARIMA
2030-11-01,15.140725169606984,13.722658,16.03067271786402,15.140725169606984,SARIMA
2030-12-01,11.856569761088824,15.293349,13.04707824781794,11.856569761088824,SARIMA
2031-01-01,10.903574061692211,16.841879,11.739198479833265,10.903574061692211,SARIMA
2031-02-01,11.028184656372066,18.137299,12.18120167963681,11.028184656372066,SARIMA
2031-03-01,13.09136404909021,18.790754,14.097556251094266,13.09136404909021,SARIMA
2031-04-01,15.744923806859015,18.71978,16.511510307790257,15.744923806859015,SARIMA
2031-05-01,18.814386209995405,17.903193,19.624682350801013,18.814386209995405,SARIMA
2031-06-01,23.210065840498967,16.65605,23.9069648532448,23.210065840498967,SARIMA
2031-07-01,26.723133852338407,14.985611,27.33773220417345,26.723133852338407,SARIMA
2031-08-01,27.057585401821893,13.201151,27.52380258540512,27.057585401821893,SARIMA
2031-09-01,23.983603554810333,11.860064,24.61745612282472,23.983603554810333,SARIMA
2031-10-01,20.540544949508128,11.674398,21.122171944637316,20.540544949508128,SARIMA
2031-11-01,15.164467558648449,12.606495,16.093170408539006,15.164467558648449,SARIMA
2031-12-01,11.875162218769129,13.987707,13.109575938492924,11.875162218769129,SARIMA
2032-01-01,10.920672113100922,15.570379,11.801696170508247,10.920672113100922,SARIMA
2032-02-01,11.045478111447672,17.079634,12.243699370311797,11.045478111447672,SARIMA
2032-03-01,13.1118928054645,18.267141,14.160053941769252,13.1118928054645,SARIMA
2032-04-01,15.76961364847909,18.777195,16.574007998465245,15.76961364847909,SARIMA
2032-05-01,18.84388931978507,18.597286,19.687180041476,18.84388931978507,SARIMA
2032-06-01,23.246461878779176,17.67416,23.96946254391979,23.246461878779176,SARIMA
2032-07-01,26.765038783127515,16.37729,27.40022989484843,26.765038783127515,SARIMA
2032-08-01,27.100014790899124,14.666056,27.58630027608011,27.100014790899124,SARIMA
2032-09-01,24.021212588712988,12.929497,24.679953813499708,24.021212588712988,SARIMA
2032-10-01,20.572754873659836,11.72772,21.184669635312304,20.572754873659836,SARIMA
2032-11-01,15.188247178471862,11.795403,16.155668099213994,15.188247178471862,SARIMA
2032-12-01,11.893783831549898,12.840973,13.17207362916791,11.893783831549898,SARIMA
2033-01-01,10.93779697621012,14.258089,11.864193861183232,10.93779697621012,SARIMA
2033-02-01,11.062798684639064,15.829099,12.30619706098678,11.062798684639064,SARIMA
2033-03-01,13.132453753277105,17.302683,14.222551632444237,13.132453753277105,SARIMA
2033-04-01,15.79434220659514,18.379461,16.63650568914023,15.79434220659514,SARIMA
2033-05-01,18.8734386938258,18.764986,19.749677732150985,18.8734386938258,SARIMA
2033-06-01,23.28291499021082,18.459888,24.031960234594777,23.28291499021082,SARIMA
2033-07-01,26.807009425641688,17.471392,27.462727585523417,26.807009425641688,SARIMA
2033-08-01,27.142510714112007,16.106297,27.648797966755097,27.142510714112007,SARIMA
2033-09-01,24.05888059788297,14.343994,24.742451504174692,24.05888059788297,SARIMA
2033-10-01,20.605015306657165,12.683428,21.247167325987288,20.605015306657165,SARIMA
2033-11-01,15.212064087459355,11.6291065,16.218165789888978,15.212064087459355,SARIMA
2033-12-01,11.912434645149672,11.934512,13.234571319842896,11.912434645149672,SARIMA
2034-01-01,10.954948693063615,13.073743,11.92669155185822,10.954948693063615,SARIMA
2034-02-01,11.080146418470555,14.527289,12.368694751661764,11.080146418470555,SARIMA
2034-03-01,13.153046943007883,16.083004,14.285049323119225,13.153046943007883,SARIMA
2034-04-01,15.81910954191906,17.50735,16.699003379815213,15.81910954191906,SARIMA
2034-05-01,18.903034404665235,18.472292,19.81217542282597,18.903034404665235,SARIMA
2034-06-01,23.319425264291123,18.745163,24.09445792526976,23.319425264291123,SARIMA
2034-07-01,26.849045882924425,18.323477,27.5252252761984,26.849045882924425,SARIMA
2034-08-01,27.185073275793673,17.26808,27.71129565743008,27.185073275793673,SARIMA
2034-09-01,24.09660767480024,15.822267,24.804949194849677,24.09660767480024,SARIMA
2034-10-01,20.637326327703764,14.038095,21.309665016662272,20.637326327703764,SARIMA
2034-11-01,15.235918344084602,12.4506035,16.280663480563963,15.235918344084602,SARIMA
2034-12-01,11.93111470535867,11.603882,13.29706901051788,11.93111470535867,SARIMA
2035-01-01,10.972127305771156,12.09292,11.989189242533206,10.972127305771156,SARIMA
2035-02-01,11.097521355533132,13.30377,12.431192442336751,11.097521355533132,SARIMA
2035-03-01,13.173672425215855,14.786335,14.347547013794207,13.173672425215855,SARIMA
2035-04-01,15.84391571525795,16.320362,16.7615010704902,15.84391571525795,SARIMA
2035-05-01,18.932676524964773,17.69697,19.87467311350096,18.932676524964773,SARIMA
2035-06-01,23.355992790657663,18.564432,24.156955615944742,23.355992790657663,SARIMA
2035-07-01,26.8911482581808,18.720823,27.587722966873383,26.8911482581808,SARIMA
2035-08-01,27.227702580440862,18.162626,27.773793348105063,27.227702580440862,SARIMA
2035-09-01,24.134393912089788,17.049295,24.867446885524664,24.134393912089788,SARIMA
2035-10-01,20.66968801612748,15.531496,21.37216270733726,20.66968801612748,SARIMA
