Date,Actual,SARIMA,LSTM,Ridge,Prophet
2019-01-01,47.79,57.88871492207945,48.376305,113.65399307607653,55.432016739724695
2019-02-01,66.92,70.70078704910479,61.17146,113.69283725884706,65.86128194898352
2019-03-01,88.29,92.04942000647725,83.2724,113.73190052010531,55.197391688739636
2019-04-01,110.42,112.10286628682474,109.780556,113.77118285985125,89.11623174167892
2019-05-01,152.52,141.42366791528548,141.18755,113.8106842780849,107.48230863029544
2019-06-01,182.4,165.90393026757792,168.37596,113.85040477480625,145.29203219805612
2019-07-01,219.02,174.75800314741358,180.4511,113.89034435001531,162.83392513777127
2019-08-01,171.38,162.8513842088142,166.71362,113.93050300371206,156.4069927604961
2019-09-01,127.51,133.4337523432066,133.03789,113.97088073589651,120.41896931566156
2019-10-01,103.75,104.1727674303263,93.904945,114.01147754656867,71.9244705673111
2019-11-01,72.13,71.69622303964158,60.212105,114.05229343572853,54.874016369817774
2019-12-01,61.18,55.6738280781707,47.86506,114.09332840337609,29.28060317308024
2020-01-01,50.2,58.00323951253398,50.22464,114.13458244951136,43.07878605507152
2020-02-01,75.59,70.68780026147044,58.354244,114.17605557413432,57.28711154152627
2020-03-01,102.35,96.55084791610773,81.46826,114.217747777245,54.54373213777374
2020-04-01,106.0,116.74269489160332,103.838646,114.25965905884337,92.5937458069497
2020-05-01,167.86,138.59325501474618,127.55304,114.30178941892945,102.44002444241852
2020-06-01,184.59,159.8580361489517,159.13985,114.34413885750321,154.6248377759713
2020-07-01,208.18,163.7236960472408,175.66666,114.3867073745647,155.58084421537671
2020-08-01,193.49,157.34884641337757,162.95021,114.42949497011388,153.46465012312814
2020-09-01,130.6,128.26415056854026,127.990234,114.47250164415075,119.62724449317145
2020-10-01,108.64,102.98817513535792,92.500046,114.51572739667533,81.31010180795079
2020-11-01,72.04,75.37283265384707,61.42966,114.55917222768763,50.10215181808607
2020-12-01,53.25,62.44623064928182,47.468636,114.60283613718761,25.063886246412448
2021-01-01,60.45,66.99180436426569,48.886173,114.6467191251753,40.737765011022496
2021-02-01,82.49,71.5396602838602,58.954227,114.69082119165068,62.52206317671654
2021-03-01,95.74,93.87940558244668,81.01273,114.73514233661379,27.20043693347649
2021-04-01,115.65,116.42702249508818,106.23255,114.77968256006459,63.29153105225503
2021-05-01,156.42,126.6751785111619,134.62721,114.82444186200308,76.58706398370178
2021-06-01,178.6,147.6941941007013,161.34933,114.86942024242927,123.38574218776431
2021-07-01,199.89,155.55891678675252,172.8285,114.91461770134318,130.42691863280112
2021-08-01,180.96,149.58532659960278,161.03386,114.96003423874478,126.37315679259812
2021-09-01,145.76,123.68093437197112,129.87248,115.00566985463409,94.8642632578999
2021-10-01,104.62,101.68255197146388,92.527275,115.0515245490111,50.02961194070103
2021-11-01,51.46,83.17553387202406,61.079018,115.09759832187581,26.52542650643517
2021-12-01,56.56,67.51858987593289,48.16227,115.14389117322823,-1.6649854912644224
2022-01-01,55.65,69.05180037781079,49.50607,115.19040310306833,16.467285582057247
2022-02-01,64.17,78.47972021018961,58.99361,115.23713411139616,41.17771602293805
2022-03-01,85.42999999999999,96.42443052157327,80.603065,115.28408419821167,13.760433961656915
2022-04-01,105.15,117.99075373532816,103.91549,115.33125336351489,39.424672024337035
2022-05-01,152.83,137.40241377503,130.68947,115.37864160730581,64.61703344794971
2022-06-01,186.15,149.54770473638956,158.02823,115.42624892958445,97.57360069819009
2022-07-01,202.72,151.32399529588915,170.22398,115.47407533035077,119.20123104715593
2022-08-01,203.59,142.4278570599491,158.6954,115.5221208096048,104.65498370813876
2022-09-01,139.62,125.39029006421401,128.1027,115.57038536734653,67.57609357634352
2022-10-01,116.06,104.85990166732898,92.36958,115.61886900357597,24.188985168625695
2022-11-01,77.62,86.3362352185871,61.525642,115.66757171829309,0.5555116571659799
2022-12-01,63.58,74.69795739443174,48.23212,115.71649351149793,-22.975467829062556
2023-01-01,54.97,72.91943242533395,49.372265,115.76563438319047,-10.314885235194916
2023-02-01,61.53,81.31290795992868,59.555756,115.81499433337072,11.297047876714137
2023-03-01,101.97,97.48873674157542,81.22882,115.86457336203866,26.810657230656048
2023-04-01,146.01,117.03258050433456,105.32933,115.91437146919431,37.01017428388572
2023-05-01,129.86,134.70846968032325,132.65518,115.96438865483765,79.11564600682772
2023-06-01,158.34,145.86026267691707,158.14081,116.0146249189687,93.20718546614118
2023-07-01,206.37,147.63673784911052,168.86026,116.06508026158745,134.4885382792857
2023-08-01,184.08,139.71836498742462,157.7645,116.1157546826939,104.32565621313506
