Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,Model_Used
2024-01-01,57.4273351651299,56.907837,45.496387905316936,59.95617168010109,57.4273351651299,SARIMA
2024-02-01,64.85301239135522,62.13801,85.04718579226054,70.96968213391932,64.85301239135522,SARIMA
2024-03-01,94.15010869515986,79.86171,117.007962208693,94.17686509058188,94.15010869515986,SARIMA
2024-04-01,124.24583957907396,109.87052,141.3787171546142,118.32503175396629,109.87052,LSTM
2024-05-01,142.15488403847695,146.92209,158.15945063002414,146.50658109159437,158.15945063002414,Ridge
2024-06-01,172.45900993702378,180.50008,167.35016263492292,182.14279142505612,180.50008,LSTM
2024-07-01,202.67915820846912,196.9914,168.95085316931045,197.7912284779013,202.67915820846912,SARIMA
2024-08-01,193.1666128345812,187.45361,162.96152223318674,185.4242652909873,193.1666128345812,SARIMA
2024-09-01,139.60781868732212,149.04863,149.3821698265518,139.74047930865677,149.04863,LSTM
2024-10-01,114.14261305078983,109.06538,128.21279594940566,107.91210260895552,109.06538,LSTM
2024-11-01,73.65211553678154,73.14935,99.45340060174831,69.94566112769826,73.14935,LSTM
2024-12-01,64.64426595135232,58.378624,63.10398378357962,54.84325087409058,58.378624,LSTM
2025-01-01,58.16814465425581,56.74725,46.8560959175002,60.37754310922386,58.16814465425581,SARIMA
2025-02-01,64.94789747143061,63.46109,86.47148178571149,73.78487806607899,64.94789747143061,SARIMA
2025-03-01,99.37070411765995,85.91568,118.49684618341158,86.30663060844299,99.37070411765995,SARIMA
2025-04-01,136.0484365289147,116.05906,142.93218911060043,112.404296961747,116.05906,LSTM
2025-05-01,135.54667608866984,139.33727,159.77751056727806,138.6851354858,159.77751056727806,Ridge
2025-06-01,164.11549401901948,172.5525,169.03281055344448,173.97068209248144,172.5525,LSTM
2025-07-01,202.95213026746163,194.34329,170.69808906909964,192.36102248950988,202.95213026746163,SARIMA
2025-08-01,186.94709412877256,181.90477,164.77334611424362,179.03249936383952,186.94709412877256,SARIMA
2025-09-01,139.61134259267277,148.92558,151.25858168887632,135.19484872812944,148.92558,LSTM
2025-10-01,112.84673130603464,107.01744,130.1537957929978,100.1807677264801,107.01744,LSTM
2025-11-01,70.89814854236148,73.58981,101.45898842660812,66.27791658966719,73.58981,LSTM
2025-12-01,64.97501776833128,59.26874,65.17415958970713,49.177938528049374,59.26874,LSTM
2026-01-01,59.7948705862787,56.965202,48.31479346145127,55.54368745720801,59.7948705862787,SARIMA
2026-02-01,66.74200146209223,61.41943,87.99476731093023,70.4550922676106,66.74200146209223,SARIMA
2026-03-01,97.58397455979096,78.48205,120.08471968989797,80.42652773718656,97.58397455979096,SARIMA
2026-04-01,129.85564400186104,109.131615,144.58465059835447,105.855976137414,109.131615,LSTM
2026-05-01,139.07157617049947,143.42145,161.49456003629973,132.81540698455828,161.49456003629973,Ridge
2026-06-01,167.8256769840399,176.41241,170.8144480037338,165.18751167861203,176.41241,LSTM
2026-07-01,201.12868870939369,192.65372,172.54431450065664,188.91561020265164,201.12868870939369,SARIMA
2026-08-01,188.95469452893025,183.60611,166.68415952706823,171.97443129332734,188.95469452893025,SARIMA
2026-09-01,139.54721939944457,150.98438,153.2339830829686,127.8332088909526,150.98438,LSTM
2026-10-01,114.15094583473451,109.2771,132.19378516835775,91.83407307285096,109.2771,LSTM
2026-11-01,74.04203879864505,74.31272,103.56356578323572,59.85087875495709,74.31272,LSTM
2026-12-01,66.64409694448756,59.106197,67.3433249276024,42.87286369193887,59.106197,LSTM
2027-01-01,60.91306840056614,57.200386,49.87248053717013,47.88416438482224,60.91306840056614,SARIMA
2027-02-01,67.59458781618459,62.109005,89.6170423679167,62.9480880484711,67.59458781618459,SARIMA
2027-03-01,99.53663443719502,79.845375,121.77158272815208,81.10731636023291,99.53663443719502,SARIMA
2027-04-01,133.30687577231097,109.547386,146.33610161787627,103.8482732138801,109.547386,LSTM
2027-05-01,137.16501307809773,140.40477,163.3105990370892,133.4689812273668,163.3105990370892,Ridge
2027-06-01,165.08726555372374,173.16098,172.6950749857909,160.96440798915614,173.16098,LSTM
2027-07-01,200.4568869721135,190.43948,174.4895294639814,192.0251534077012,200.4568869721135,SARIMA
2027-08-01,186.5742763353823,181.74074,168.69396247166063,169.4205772566087,186.5742763353823,SARIMA
2027-09-01,139.5203922590241,151.17601,155.30837400882865,122.43025430759704,151.17601,LSTM
2027-10-01,114.05127193656072,110.210724,134.33276407548547,88.04522675176307,110.210724,LSTM
2027-11-01,73.996720486652,75.61918,105.76713267163107,55.43861186262078,75.61918,LSTM
2027-12-01,67.56508738730393,59.893,69.61147979726542,41.09918741708287,59.893,LSTM
2028-01-01,62.2707754491332,57.19929,51.52915714465672,42.1745063122714,62.2707754491332,SARIMA
2028-02-01,68.92170689159396,61.229534,91.33830695667098,54.80244052260976,68.92170689159396,SARIMA
2028-03-01,99.46829388774093,77.60189,123.557435298174,82.28896737487247,99.46829388774093,SARIMA
2028-04-01,131.5863358832956,107.48551,148.18654216916582,102.1108465457539,107.48551,LSTM
2028-05-01,138.17021565694867,140.5962,165.2256275696464,134.8251222754203,165.2256275696464,Ridge
2028-06-01,165.8180194535704,173.20782,174.6746914996158,166.18005468833516,173.20782,LSTM
2028-07-01,199.1951748954409,189.9178,176.5337339590739,186.31197529378863,199.1951748954409,SARIMA
2028-08-01,186.5676922090221,182.51927,170.80275494802083,169.4717157990341,186.5676922090221,SARIMA
2028-09-01,139.47459024240771,152.41254,157.4817544664565,122.2645392313352,152.41254,LSTM
2028-10-01,114.69417423219429,111.4839,136.57073251438098,91.64790761619922,111.4839,LSTM
2028-11-01,75.63368568378995,76.234695,108.06968909179425,52.18864814693777,76.234695,LSTM
2028-12-01,68.85690187569688,60.074654,71.9786241986962,38.36486290650984,60.074654,LSTM
2029-01-01,63.46756366090288,57.425987,53.28482328391107,42.57939289873595,63.46756366090288,SARIMA
2029-02-01,69.96480028653978,61.44762,93.158561077193,57.612203473290506,69.96480028653978,SARIMA
2029-03-01,100.46702752783828,77.64454,125.4422773999637,90.3007109528906,100.46702752783828,SARIMA
2029-04-01,132.6359208264788,106.83909,150.13597225222318,107.6766447911946,106.83909,LSTM
2029-05-01,137.61487431922637,138.86542,167.2396456339714,142.8882839798089,167.2396456339714,Ridge
2029-06-01,164.70141506528722,171.31316,176.75329754520843,169.48717608844274,171.31316,LSTM
2029-07-01,198.276637421626,188.49,178.6769279859342,196.778333913033,198.276637421626,SARIMA
2029-08-01,185.3099578764401,181.9316,173.01053695614877,174.5681676529786,185.3099578764401,SARIMA
2029-09-01,139.43995991135097,153.09543,159.7541244558521,123.45133543613882,153.09543,LSTM
2029-10-01,114.92922733514516,112.90245,138.9076904850442,95.40167985235536,112.90245,LSTM
2029-11-01,76.34207263113302,77.366455,110.47123504372516,54.25805785393256,77.366455,LSTM
2029-12-01,69.92026003569632,60.630898,74.44475813189473,44.195001703913,60.630898,LSTM
2030-01-01,64.71861929514222,57.502396,55.13947895493325,43.47904742117745,64.71861929514222,SARIMA
2030-02-01,71.13097867054846,61.116814,95.0778047294828,54.01919699778099,71.13097867054846,SARIMA
2030-03-01,100.87777399683254,76.73376,127.4261090335212,101.75572125767718,100.87777399683254,SARIMA
2030-04-01,132.19849172123676,105.65935,152.1843918670483,119.15506841332054,105.65935,LSTM
2030-05-01,137.89632151359564,138.02931,169.35265323006416,154.35637765705334,169.35265323006416,Ridge
2030-06-01,164.58711833239033,170.52765,178.93089312256885,178.7246106685903,170.52765,LSTM
2030-07-01,197.20065551398773,188.01862,180.91911154456227,210.6830466512612,197.20065551398773,SARIMA
2030-08-01,184.7438557217773,182.28653,175.31730849604452,185.54053673980863,184.7438557217773,SARIMA
2030-09-01,139.40032487199142,154.00763,162.1254839770155,131.99731530860254,154.00763,LSTM
2030-10-01,115.37326821453344,114.03208,141.34363798747526,105.08360304065816,114.03208,LSTM
2030-11-01,77.52185341776386,78.09145,112.9717705274238,63.74526931149688,78.09145,LSTM
