Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,Model_Used
2024-01-01,11.29752416736825,11.124804,8.536257252422931,12.025969048021016,11.29752416736825,SARIMA
2024-02-01,11.740434391408634,10.980992,12.997311555990958,12.020335816779031,11.740434391408634,SARIMA
2024-03-01,13.657577680381204,11.676199,16.700771970837454,14.252970467997326,13.657577680381204,SARIMA
2024-04-01,16.07234619839084,14.048773,19.646638496962414,16.414010967307984,14.048773,LSTM
2024-05-01,19.18649656837265,18.949125,21.834911134365843,19.852369416935268,21.834911134365843,Ridge
2024-06-01,23.470062088207143,23.743504,23.265589883047745,24.350974587598618,23.743504,LSTM
2024-07-01,26.90196641791643,26.662956,23.938674743008107,27.06110193618937,26.90196641791643,SARIMA
2024-08-01,27.088075569734404,27.328646,23.85416571424694,27.709782576398727,27.088075569734404,SARIMA
2024-09-01,24.177801738441836,25.297926,23.012062796764237,24.766736698506183,25.297926,LSTM
2024-10-01,20.68341114931748,21.586466,21.41236599056,21.506460645849103,21.586466,LSTM
2024-11-01,15.653525332393867,16.926386,19.055075295634232,16.07084562339147,16.926386,LSTM
2024-12-01,12.669222608588155,13.6470175,15.940190711986933,13.078196727117264,13.6470175,LSTM
2025-01-01,11.360535040304187,11.393247,8.697634378907772,11.653478545729715,11.360535040304187,SARIMA
2025-02-01,11.80294223883628,10.936347,13.167346555258003,12.378197772905454,11.80294223883628,SARIMA
2025-03-01,13.71996662592321,11.999902,16.879464842886698,13.909655252767772,13.71996662592321,SARIMA
2025-04-01,16.134743291779266,14.399503,19.83398924179386,16.476609271583612,14.399503,LSTM
2025-05-01,19.24895796249369,18.354504,22.03091975197949,19.501818930749835,22.03091975197949,Ridge
2025-06-01,23.53263126838312,23.51786,23.47025637344359,24.12115261804703,23.51786,LSTM
2025-07-01,26.96462483009275,27.031862,24.151999106186157,27.07436000361249,26.96462483009275,SARIMA
2025-08-01,27.150738265499037,26.724466,24.076147950207183,27.671161526928145,27.150738265499037,SARIMA
