Date,Actual,SARIMA,LSTM,Ridge,Prophet
2019-01-01,9.951612903225806,10.976843877150007,10.669902,18.286017894253277,11.333412292162182
2019-02-01,10.632142857142856,11.11386028993777,11.192935,18.296205834425734,11.305476828239405
2019-03-01,12.803225806451612,12.779792114343294,12.675439,18.306447017362068,10.44100401030526
2019-04-01,14.963333333333331,15.392506753497953,15.420056,18.31674144306228,14.405324567040612
2019-05-01,18.23548387096774,18.451686270801495,19.482878,18.327089111526377,16.17350797671737
2019-06-01,23.08333333333333,22.58859405194659,23.319029,18.33749002275435,21.09433025583121
2019-07-01,27.57741935483871,25.842663575355935,25.797956,18.3479441767462,23.804982629402744
2019-08-01,26.98064516129032,26.185104904660193,26.070173,18.35845157350193,25.145675426430227
2019-09-01,23.99333333333333,23.266880157154194,23.558922,18.36901221302154,22.95590429882469
2019-10-01,20.21935483870968,20.048591727736003,19.596987,18.379626095305035,18.355148503448877
2019-11-01,14.92,14.837848976349107,15.2359,18.390293220352405,14.949307027494413
2019-12-01,13.670967741935485,11.65734795680294,12.061506,18.401013588163654,10.611269653780392
2020-01-01,10.519354838709678,10.901246581536054,10.834972,18.411787198738782,10.899225653109507
2020-02-01,13.006896551724138,10.973001860321022,11.132081,18.42261405207779,10.926533426602422
2020-03-01,14.564516129032258,12.853823017594003,12.756319,18.433494148180678,10.905493735038176
2020-04-01,16.23,15.417397378790284,15.2788315,18.444427487047445,14.082263937750493
2020-05-01,20.358064516129037,18.284884828607687,18.725296,18.455414068678092,16.027097301225783
2020-06-01,23.09,22.451257124743606,22.630579,18.466453893072618,21.833315181222606
2020-07-01,26.72903225806452,25.81563243887666,25.49991,18.477546960231024,23.292918559810087
2020-08-01,27.27741935483871,26.210726426912842,25.994272,18.48869327015331,24.770517341144615
2020-09-01,23.09,23.402690292982495,23.919163,18.499892822839474,22.866363407966556
2020-10-01,18.606451612903225,19.940420754786732,19.872208,18.511145618289518,19.301002919368
2020-11-01,16.673333333333332,14.86849039116402,15.633559,18.522451656503442,14.146117028259773
2020-12-01,12.393548387096772,11.70276757290137,12.21672,18.533810937481242,10.688515361996307
2021-01-01,11.674193548387096,10.923225894079417,10.774883,18.545223461222925,10.139787860060189
2021-02-01,14.114285714285714,10.984658127440577,11.145615,18.556689227728487,11.350129499708983
2021-03-01,13.174193548387096,12.86014388793662,12.638842,18.56820823699793,8.105254418406274
2021-04-01,15.763333333333332,15.41991898669289,15.410164,18.579780489031247,11.816322163502944
2021-05-01,19.63225806451613,18.28402489777491,19.263035,18.591405983828448,13.429017295259639
2021-06-01,23.56,22.445887993565194,22.967987,18.60308472138953,19.20483567426565
2021-07-01,26.9,25.806678503243777,25.462765,18.61481670171449,20.800085407713766
2021-08-01,27.29032258064516,26.201343451782925,25.81748,18.626601924803325,22.51347175397476
2021-09-01,25.183333333333334,23.396263149302857,23.725084,18.638440390656044,21.02702570206724
2021-10-01,19.432258064516127,19.937641836068103,19.92214,18.65033209927264,16.60668222017683
2021-11-01,14.113333333333332,14.871057342876206,15.677938,18.662277050653117,12.54558723075206
2021-12-01,12.13548387096774,11.708671362080727,12.307146,18.67427524479747,8.298081959469613
2022-01-01,9.764516129032256,10.929951349308618,10.831266,18.686326681705708,8.539228539218843
2022-02-01,11.603571428571428,10.99131881166275,11.173688,18.698431361377825,9.958987322768808
2022-03-01,13.425806451612903,12.864827621649223,12.646081,18.710589283813817,5.86193041906354
2022-04-01,14.53,15.42190446538721,15.320371,18.72280044901369,9.351155463695173
2022-05-01,19.72258064516129,18.2829913281141,19.050373,18.735064856977445,11.381238855377443
2022-06-01,24.51,22.44046741288538,22.773048,18.747382507705076,16.376057236339445
2022-07-01,27.006451612903227,25.797715320535538,25.368523,18.75975340119659,18.863249699890904
2022-08-01,27.72903225806452,26.191964253591426,25.83831,18.77217753745198,20.050615976237637
2022-09-01,25.246666666666663,23.38984078015435,23.865747,18.78465491647125,18.402843920064207
2022-10-01,22.50967741935484,19.93486519212553,20.075966,18.797185538254404,13.713917492690202
2022-11-01,17.07,14.873621374633553,15.815377,18.809769402801432,10.171799562458435
2022-12-01,15.19032258064516,11.714568858025848,12.360104,18.82240651011234,5.707021808476982
2023-01-01,10.896774193548389,10.936669692326356,10.822723,18.835096860187132,6.157405862580455
2023-02-01,10.960714285714284,10.997972467371797,11.162232,18.8478404530258,7.458322878298459
2023-03-01,14.287096774193548,12.869506415794273,12.632327,18.860637288628347,5.690391543811624
2023-04-01,17.103333333333335,15.423887850389823,15.355738,18.873487366994773,8.249767849206831
2023-05-01,18.151612903225807,18.28195884767412,19.126545,18.88639068812508,11.398138503269486
2023-06-01,22.85,22.43505254594192,22.790222,18.899347252019265,14.909994020067032
2023-07-01,29.154838709677417,25.78876158587058,25.313963,18.912357058677333,18.996354639815685
2023-08-01,26.82903225806452,26.18259494198315,25.7702,18.925420108099278,18.944344871810106
